0,a08859b52858-Hudep2_ATAC,fe8785968662-Hudep2_D3_merged_CTCF.all,b0da11c1df50-Hudep2_BCL11A,ba7834bdcc8e-Hudep2_D0_GATA1.all,b5e088a81c17-HUDEP2_LRF_CHIP,841dcfc50d9a-Hudep2_D3_merged_GATA1.all,f746e066cca0-Hudep2_D3_merged_KLF1.all,922003c4a54d-Hudep2_D3_merged_LDB1.all,9a15e4413613-Hudep2_D3_merged_TAL1.all
chr11:4167421-4167422,62.8787,4.17822,2.4802,11.3564,10.953,5.61139,7.24752,6.10891,4.21535
chr11:4167500-4167501,79.4678,3.9901,1.75248,11.2376,12.1163,8.25,5.7401,6.9802,4.0
chr11:4167503-4167504,78.9777,3.9529699999999997,1.7599,11.1931,12.0866,8.26485,5.69554,6.91337,4.0
chr11:4167534-4167535,73.9134,3.5693099999999998,1.83663,10.7327,11.7797,8.41832,5.23515,6.22277,4.0
chr11:4167538-4167539,73.2599,3.5198,1.84653,10.6733,11.7401,8.43812,5.17574,6.13366,4.0
chr11:4167540-4167541,72.9332,3.49505,1.85149,10.6436,11.7203,8.44802,5.14604,6.08911,4.0
chr11:4167543-4167544,72.4431,3.4579199999999997,1.8589099999999998,10.599,11.6906,8.46287,5.10149,6.02228,4.0
chr11:4167547-4167548,71.7896,3.4084199999999996,1.8688099999999999,10.5396,11.651,8.482669999999999,5.04208,5.93317,4.0
chr11:4203456-4203457,385.67800000000005,83.0495,4.60891,6.72525,16.4332,3.39356,11.1163,11.1906,5.27475
chr11:4203539-4203540,506.75199999999995,99.2178,4.10396,7.76733,14.8144,3.6955400000000003,12.3663,11.7228,6.54208
chr11:4208293-4208294,395.406,68.9554,0.965347,13.0272,35.1733,10.5891,26.2079,8.12376,9.2896
chr11:4208334-4208335,498.46,80.4208,1.0,13.4208,36.9084,11.5594,28.0817,8.12624,9.7203
chr11:4208336-4208337,503.223,80.9356,1.0,13.4307,36.9827,11.599,28.1658,8.12624,9.7401
chr11:4208401-4208402,567.015,86.505,0.7326729999999999,12.9851,38.0074,11.0347,29.7847,7.849010000000001,9.06683
chr11:4208403-4208404,565.045,86.2426,0.712871,12.9653,38.0173,10.9356,29.8243,7.819310000000001,8.99752
chr11:4208411-4208412,557.163,85.1931,0.633663,12.8861,38.0569,10.5396,29.9827,7.7005,8.7203
chr11:4208867-4208868,724.671,138.25,6.4901,10.4183,55.7525,5.7203,39.4109,9.69554,7.636139999999999
chr11:4208877-4208878,756.6510000000001,145.082,6.83663,10.4431,57.5099,5.84406,39.8564,9.59653,7.7104
